split,pixel_percentile_budget,method_a,method_b,events,mean_recall_delta_a_minus_b,ci95_low,ci95_high,wins_a,ties,wins_b,wilcoxon_p
train,0.01,band_image_projector_distance,ir_mad,11,0.12109927181200918,0.07735999465470296,0.16602082185406106,11,0,0,0.0009765625
train,0.01,band_image_projector_distance,pca_diff,11,0.17317899720465924,0.098150701815579,0.2515242242487023,11,0,0,0.0009765625
train,0.01,band_image_projector_distance,raw_l2,11,0.20098242182260498,0.11170957301162775,0.29421993222773496,11,0,0,0.0009765625
train,0.05,band_image_projector_distance,ir_mad,11,0.14556970600763927,0.10773904221180049,0.18854703615497762,11,0,0,0.0009765625
train,0.05,band_image_projector_distance,pca_diff,11,0.28218503507107406,0.17040477318167171,0.4044701335744134,11,0,0,0.0009765625
train,0.05,band_image_projector_distance,raw_l2,11,0.3432849726078461,0.21482435800803595,0.4779408760067471,11,0,0,0.0009765625
train,0.1,band_image_projector_distance,ir_mad,11,0.13507335150619973,0.0882555128194776,0.18613309355019167,11,0,0,0.0009765625
train,0.1,band_image_projector_distance,pca_diff,11,0.29769230485116793,0.1841959905217633,0.42246851850741335,11,0,0,0.0009765625
train,0.1,band_image_projector_distance,raw_l2,11,0.3889264473969915,0.23770237417889908,0.5331532864684215,11,0,0,0.0009765625
test,0.01,band_image_projector_distance,ir_mad,5,0.09122196328034742,0.03407329091013157,0.17677290415248098,5,0,0,0.0625
test,0.01,band_image_projector_distance,pca_diff,5,0.11548057791180337,0.041267059829031616,0.21755083851930204,5,0,0,0.0625
test,0.01,band_image_projector_distance,raw_l2,5,0.12880481737553395,0.030185080354190336,0.23145167359218827,4,0,1,0.1875
test,0.05,band_image_projector_distance,ir_mad,5,0.1487293833649755,0.08761125774778311,0.22504261998204056,5,0,0,0.0625
test,0.05,band_image_projector_distance,pca_diff,5,0.17749618753755705,0.08488131806707425,0.2889797619512664,5,0,0,0.0625
test,0.05,band_image_projector_distance,raw_l2,5,0.25772181575480235,0.10842737237824056,0.39946772033783956,4,1,0,0.125
test,0.1,band_image_projector_distance,ir_mad,5,0.15494065092774822,0.08004793060666547,0.22983337124883096,5,0,0,0.0625
test,0.1,band_image_projector_distance,pca_diff,5,0.1951048585862829,0.0868921989591651,0.3219045220845641,5,0,0,0.0625
test,0.1,band_image_projector_distance,raw_l2,5,0.3190962447496567,0.15798317289998748,0.4879592592670443,5,0,0,0.0625
