split,method,statistic,size_stratum,events,mean_event_damaged_object_recall_at_5pct
train,band_image_projector_distance,maximum,small,11,0.25661806062588943
train,band_image_projector_distance,mean,small,11,0.18514353593685343
train,band_image_projector_distance,p90,small,11,0.23949875649149377
train,band_image_projector_distance,maximum,medium,11,0.4796855702300387
train,band_image_projector_distance,mean,medium,11,0.30970062412564725
train,band_image_projector_distance,p90,medium,11,0.44884875896176896
train,band_image_projector_distance,maximum,large,11,0.6326235412597191
train,band_image_projector_distance,mean,large,11,0.32414914152611013
train,band_image_projector_distance,p90,large,11,0.5514649350778451
train,ir_mad,maximum,small,11,0.15833192652617115
train,ir_mad,mean,small,11,0.11609460937607598
train,ir_mad,p90,small,11,0.1489706571268318
train,ir_mad,maximum,medium,11,0.334284420865281
train,ir_mad,mean,medium,11,0.21843161366095953
train,ir_mad,p90,medium,11,0.30072596413090813
train,ir_mad,maximum,large,11,0.4440528029731457
train,ir_mad,mean,large,11,0.23189104599359603
train,ir_mad,p90,large,11,0.3990223950564213
train,pca_diff,maximum,small,11,0.1132366487113056
train,pca_diff,mean,small,11,0.08474808729128065
train,pca_diff,p90,small,11,0.10832189172789843
train,pca_diff,maximum,medium,11,0.16191868455052463
train,pca_diff,mean,medium,11,0.07258474638934685
train,pca_diff,p90,medium,11,0.13730958751154107
train,pca_diff,maximum,large,11,0.2720636234140954
train,pca_diff,mean,large,11,0.04947820753148173
train,pca_diff,p90,large,11,0.2285016012155715
train,raw_l2,maximum,small,11,0.08742883876240728
train,raw_l2,mean,small,11,0.06833697922587816
train,raw_l2,p90,small,11,0.08249849634707915
train,raw_l2,maximum,medium,11,0.10263976863398967
train,raw_l2,mean,medium,11,0.04817316002283251
train,raw_l2,p90,medium,11,0.09459318123131923
train,raw_l2,maximum,large,11,0.1480876303410898
train,raw_l2,mean,large,11,0.027586488608436387
train,raw_l2,p90,large,11,0.10079909641575967
test,band_image_projector_distance,maximum,small,5,0.22599242095787883
test,band_image_projector_distance,mean,small,5,0.16105746771792784
test,band_image_projector_distance,p90,small,5,0.196477434301721
test,band_image_projector_distance,maximum,medium,5,0.32976326620634155
test,band_image_projector_distance,mean,medium,5,0.1405253665377811
test,band_image_projector_distance,p90,medium,5,0.3006377639658629
test,band_image_projector_distance,maximum,large,5,0.4749960607339026
test,band_image_projector_distance,mean,large,5,0.1311279962502058
test,band_image_projector_distance,p90,large,5,0.40843182566959035
test,ir_mad,maximum,small,5,0.13816928981263174
test,ir_mad,mean,small,5,0.11795860315680542
test,ir_mad,p90,small,5,0.1346202826196193
test,ir_mad,maximum,medium,5,0.17629424424746334
test,ir_mad,mean,medium,5,0.12703185651559154
test,ir_mad,p90,medium,5,0.16766899003762487
test,ir_mad,maximum,large,5,0.27498627426627137
test,ir_mad,mean,large,5,0.13654352874154543
test,ir_mad,p90,large,5,0.23633108434674144
test,pca_diff,maximum,small,5,0.14043840069104424
test,pca_diff,mean,small,5,0.11869825476307505
test,pca_diff,p90,small,5,0.13693336764016742
test,pca_diff,maximum,medium,5,0.18894996153212007
test,pca_diff,mean,medium,5,0.10858038143509344
test,pca_diff,p90,medium,5,0.17243744021651525
test,pca_diff,maximum,large,5,0.21806474172415885
test,pca_diff,mean,large,5,0.07225640055251774
test,pca_diff,p90,large,5,0.19025518634641758
test,raw_l2,maximum,small,5,0.09729696648708422
test,raw_l2,mean,small,5,0.06002876299957841
test,raw_l2,p90,small,5,0.09073813545015838
test,raw_l2,maximum,medium,5,0.11789072272787948
test,raw_l2,mean,medium,5,0.07656448737749592
test,raw_l2,p90,medium,5,0.1079997044541545
test,raw_l2,maximum,large,5,0.09282067929531895
test,raw_l2,mean,large,5,0.04134279415692731
test,raw_l2,p90,large,5,0.08099660853737783
