task,magnitude,method,events,mean_shift_minus_baseline,ci95_low,ci95_high,improved_events,ties,degraded_events
full_scene_average_precision,0.25,band_image_projector_distance,11,-0.0006167538830401087,-0.001451918866400236,-4.1765812390276534e-05,2,0,9
full_scene_average_precision,0.25,ir_mad,11,5.0388310064192935e-05,-0.0006249528136129173,0.0008459990795230643,5,0,6
full_scene_average_precision,0.25,pca_diff,11,-6.587827244200821e-05,-0.00022134909243486144,2.57425219114962e-05,7,0,4
full_scene_average_precision,0.25,raw_l2,11,-6.177976142220773e-05,-0.00012625691670718647,-1.0306078274895786e-05,4,0,7
full_scene_average_precision,0.5,band_image_projector_distance,11,-0.0011651808863194957,-0.0026595946187159994,-0.00013792672013981835,2,0,9
full_scene_average_precision,0.5,ir_mad,11,-0.00020676923192788777,-0.0013004863343532432,0.0010162407384255604,4,0,7
full_scene_average_precision,0.5,pca_diff,11,-0.00012980319513243878,-0.00044854489471843275,6.509018434097303e-05,8,0,3
full_scene_average_precision,0.5,raw_l2,11,-0.00012157179197463907,-0.0002519471328839462,-1.1912523409160991e-05,5,0,6
full_scene_average_precision,1.0,band_image_projector_distance,11,-0.0023310185074912337,-0.004956340118986598,-0.0005453114872781568,2,0,9
full_scene_average_precision,1.0,ir_mad,11,-0.0011462648934931054,-0.0028070926543903012,0.00024044323504826328,4,0,7
full_scene_average_precision,1.0,pca_diff,11,-8.146949652487078e-05,-0.0005810161151935542,0.00028419502593668514,7,0,4
full_scene_average_precision,1.0,raw_l2,11,-0.00018736394154047364,-0.0004373011672595406,9.728688740767908e-06,6,0,5
damaged_object_p90_recall_at_5pct,0.25,band_image_projector_distance,11,-0.008520251817612744,-0.02056593215166196,-0.00035431270771459707,1,5,5
damaged_object_p90_recall_at_5pct,0.25,ir_mad,11,-0.008053846980136038,-0.027527193374926928,0.003385659043621265,3,5,3
damaged_object_p90_recall_at_5pct,0.25,pca_diff,11,-0.0011729673062018506,-0.003165363394465328,0.00029475977243843696,1,7,3
damaged_object_p90_recall_at_5pct,0.25,raw_l2,11,-0.0039182246835064,-0.011285046941848682,0.0004478652715875853,2,6,3
damaged_object_p90_recall_at_5pct,0.5,band_image_projector_distance,11,-0.016841972807254465,-0.03255671589743622,-0.004411431893937267,0,3,8
damaged_object_p90_recall_at_5pct,0.5,ir_mad,11,-0.01328608452290856,-0.034103946539706984,0.00026593926082665105,2,4,5
damaged_object_p90_recall_at_5pct,0.5,pca_diff,11,0.002981033845452286,-0.0026695600032399327,0.011583164494278202,3,5,3
damaged_object_p90_recall_at_5pct,0.5,raw_l2,11,-0.0008970833978639746,-0.01569587432743502,0.017203466665211373,2,4,5
damaged_object_p90_recall_at_5pct,1.0,band_image_projector_distance,11,-0.023625803482404416,-0.0442011094236863,-0.007231915647218403,1,3,7
damaged_object_p90_recall_at_5pct,1.0,ir_mad,11,-0.008671983426322473,-0.0273007306623902,0.005571075150427569,3,3,5
damaged_object_p90_recall_at_5pct,1.0,pca_diff,11,0.009401724939371437,-0.0065580113540963944,0.03475071001044962,4,3,4
damaged_object_p90_recall_at_5pct,1.0,raw_l2,11,-0.0023668706574510616,-0.025329463180784918,0.02400248474157759,3,3,5
full_scene_average_precision,1.5,band_image_projector_distance,11,-0.0032883823702492708,-0.0073093423090595695,-0.0006977867635697937,4,0,7
full_scene_average_precision,1.5,ir_mad,11,-0.000878417511473463,-0.0033320327886679903,0.0011696843708679308,6,0,5
full_scene_average_precision,1.5,pca_diff,11,4.296451808049424e-05,-0.000651487641627741,0.000628714532160799,9,0,2
full_scene_average_precision,1.5,raw_l2,11,-0.0001687642295579648,-0.0004853687250263833,8.392888755203954e-05,6,0,5
full_scene_average_precision,2.0,band_image_projector_distance,11,-0.004141240121880585,-0.008912135659057472,-0.0009568400289991159,3,0,8
full_scene_average_precision,2.0,ir_mad,11,-0.0014322271211844137,-0.00464564306077265,0.0015534750007814484,6,0,5
full_scene_average_precision,2.0,pca_diff,11,0.0002624007812778163,-0.0005849686142522588,0.0011118828888214663,9,0,2
full_scene_average_precision,2.0,raw_l2,11,-6.734457058658865e-05,-0.00046932237556216746,0.00026520976422943687,7,0,4
damaged_object_p90_recall_at_5pct,1.5,band_image_projector_distance,11,-0.026820288045611887,-0.05531733652340416,0.0033864989541447406,2,1,8
damaged_object_p90_recall_at_5pct,1.5,ir_mad,11,-0.011995309162032114,-0.03089788785418912,0.006525002887371818,3,2,6
damaged_object_p90_recall_at_5pct,1.5,pca_diff,11,0.014838540481402108,-0.0019921808833291907,0.039181551645164646,6,2,3
damaged_object_p90_recall_at_5pct,1.5,raw_l2,11,0.005839982594870041,-0.015584600733037815,0.032822055003062116,4,3,4
damaged_object_p90_recall_at_5pct,2.0,band_image_projector_distance,11,-0.035840890557838755,-0.06840939150068782,-0.00237626399474232,2,1,8
damaged_object_p90_recall_at_5pct,2.0,ir_mad,11,-0.019685607407140787,-0.045752658340880784,0.005322535035484168,2,2,7
damaged_object_p90_recall_at_5pct,2.0,pca_diff,11,0.015520248756757865,-0.005600580348174804,0.04189880937233266,6,2,3
damaged_object_p90_recall_at_5pct,2.0,raw_l2,11,0.01141462590847603,-0.005668689535617114,0.03684247241751853,4,3,4
