"kind","source","destination","status","note"
"ignored_large_data","data_hsi","data\claude_hsi","copied_ignored_untracked","Large HSI data copied under ignored root data folder; not intended for Git commit."
"ignored_local_data","temporal\data","temporal\data","copied","Small JSON temporal input data copied for reproducibility."
"ignored_local_outputs","temporal\outputs","docs\experiment_reports\claude_temporal\assets\temporal_outputs","copied","Small Claude temporal outputs preserved as report assets."
"ignored_local_source_record",".tmp_sfsub.pdf","docs\source_records\claude_temporal\tmp_sfsub.pdf","copied","Ignored PDF-like source record preserved."
"ignored_noise_skipped",".pytest_cache","","skipped_cache","Pytest cache is reproducible tool noise."
"ignored_noise_skipped","**/__pycache__","","skipped_cache","Python bytecode caches are reproducible tool noise."
"main_only_not_deleted","docs\experiment_reports\assets\hsi_band_image_transfer_2026-06-22\average_precision_summary.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\hsi_band_image_transfer_2026-06-22\fixed_rank11_metrics.csv","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\hsi_band_image_transfer_2026-06-22\hermiston_score_maps.jpg","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\hsi_band_image_transfer_2026-06-22\rank_sensitivity.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\multiresolution_subspace_2026-06-23\chongqing_qualitative_comparison.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\multiresolution_subspace_2026-06-23\frozen_test_city_ap_deltas.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\multiresolution_subspace_2026-06-23\frozen_test_method_comparison.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\multiresolution_subspace_2026-06-23\norcia_qualitative_comparison.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\multiresolution_subspace_2026-06-23\training_ablation_summary.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\spacenet7_band_image_transfer_2026-06-22\aoi_average_precision.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\spacenet7_band_image_transfer_2026-06-22\aoi_mean_metrics.csv","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\spacenet7_band_image_transfer_2026-06-22\representative_transition.jpg","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\successive_transfer_2026-06-23\oscd_chongqing_trainfit_map.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\successive_transfer_2026-06-23\oscd_seed_stability.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\successive_transfer_2026-06-23\oscd_trainfit_ap_deltas.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\successive_transfer_2026-06-23\oscd_trainfit_ap.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\successive_transfer_2026-06-23\xbd_best_variant_ap_deltas.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\successive_transfer_2026-06-23\xbd_guatemala-volcano_guatemala-volcano_00000000.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
"main_only_not_deleted","docs\experiment_reports\assets\successive_transfer_2026-06-23\xbd_hurricane-matthew_hurricane-matthew_00000000.png","","kept_on_main","Claude lacks this newer main file; no deletion accepted."
